"BR","UF ","Tipo de trecho","Desc Coinc","Código","Local de Início","Local de Fim","km inicial","km final","Extensão","Superfície Federal","Obras","Federal Coincidente","Administração","Ato legal","Estadual Coincidente","Superfície Est. Coincidente","Jurisdição","Superfície","Unidade Local"
"010","TO","Eixo Principal","-","010BTO0315","INÍCIO TRAVESSIA RIO PERDIDA","FIM TRAVESSIA RIO PERDIDA","634.6","634.8","0.2","TRV","","010BTO0315","Federal","","","","Federal","N_PAV",""
"010","TO","Eixo Principal","-","010BTO0318","FIM TRAVESSIA RIO PERDIDA","FIM DA PAVIMENTAÇÃO","634.8","640.4","5.6","PAV","","010BTO0318","Federal","","","","Federal","PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0320","FIM DA PAVIMENTAÇÃO","ENTR BR-235","640.4","660.1","19.7","PLA","","010BTO0320","Federal","","","","Federal","PLA",""
"010","TO","Eixo Principal","-","010BTO0325","ENTR BR-235","ENTR TO-010(A)/428 (SANTA MARIA DO TOCANTINS)","660.1","698.9","38.8","PLA","","010BTO0325","Federal","","","","Federal","PLA",""
"010","TO","Eixo Principal","-","010BTO0330","ENTR TO-010(A)/428 (SANTA MARIA DO TOCANTINS)","ENTR TO-239 (ITACAJÁ)","698.9","747.1","48.2","LEN","","010BTO0330","Federal","","","","Federal","N_PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0335","ENTR TO-239 (ITACAJÁ)","INÍCIO DE PAVIMENTAÇÃO","747.1","815.5","68.4","LEN","","010BTO0335","Federal","","","","Federal","N_PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0350","INÍCIO DE PAVIMENTAÇÃO","MORRO GRANDE","815.5","823.6","8.1","PAV","","010BTO0350","Federal","","","","Federal","PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0355","MORRO GRANDE","GOIATINS","823.6","855.9","32.3","PAV","","010BTO0355","Federal","","","","Federal","PAV","Palmas"
"010","TO","Eixo Principal","-","010BTO0357","GOIATINS","DIV TO/MA","855.9","856.9","1","PLA","","010BTO0357","Federal","","","","Federal","PLA",""
"020","PI","Acesso","-","020API1005","ENTR BR-020","ACS SUL S RAIMUNDO NONATO - ACESSO NORTE","0","0.7","0.7","PAV","","020API1005","Federal","","","","Federal","PAV","Picos"
"020","PI","Acesso","-","020API2005","ENTR BR-020","ENTR BR-324/PI-040 (S RAIMUNDO NONATO - ACESSO SUL)","0","1.9","1.9","PAV","","020API2005","Federal","","","","Federal","PAV","Picos"
"020","BA","Eixo Principal","-","020BBA0220","ENTR BR-349(A) (DIV GO/BA)","ENTR BR-349(B) (P/ CORRENTINA)","0","18.1","18.1","PAV","","020BBA0220;349BBA0701","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0225","ENTR BR-349(B) (P/ CORRENTINA)","P/ SÃO DOMINGOS","18.1","75.7","57.6","PAV","","020BBA0225","Federal","","","","Federal","PAV","Barreiras"
"020","BA","Eixo Principal","-","020BBA0230","P/ SÃO DOMINGOS","ENTR BA-463 (P/SÃO DESIDÉRIO)","75.7","129.9","54.2","PAV","","020BBA0230","Federal","","","","Federal","PAV","Barreiras"
